L,MLT,er,etheta,ephi,#ofValues
12.5,14.5,,,,0.0
12.5,15.5,,,,0.0
12.5,16.5,0.8944025226094175,-1.4163890965752475,2.5599034636574567,1.0
12.5,17.5,0.8526721248322425,1.1596462595749186,2.243243830469467,5.0
12.5,18.5,,,,0.0
12.5,19.5,,,,0.0
12.5,20.5,,,,0.0
12.5,21.5,,,,0.0
12.5,22.5,,,,0.0
12.5,23.5,,,,0.0
13.5,0.5,,,,0.0
13.5,1.5,,,,0.0
13.5,2.5,,,,0.0
13.5,3.5,,,,0.0
13.5,4.5,,,,0.0
13.5,5.5,,,,0.0
13.5,6.5,,,,0.0
13.5,7.5,,,,0.0
13.5,8.5,,,,0.0
13.5,9.5,,,,0.0
13.5,10.5,,,,0.0
13.5,11.5,,,,0.0
13.5,12.5,,,,0.0
13.5,13.5,,,,0.0
13.5,14.5,,,,0.0
13.5,15.5,,,,0.0
13.5,16.5,1.2275668135538087,1.257819042883165,0.19115757918108275,3.0
13.5,17.5,,,,0.0
13.5,18.5,,,,0.0
13.5,19.5,,,,0.0
13.5,20.5,,,,0.0
13.5,21.5,,,,0.0
13.5,22.5,,,,0.0
13.5,23.5,,,,0.0
14.5,0.5,,,,0.0
14.5,1.5,,,,0.0
14.5,2.5,,,,0.0
14.5,3.5,,,,0.0
14.5,4.5,,,,0.0
14.5,5.5,,,,0.0
14.5,6.5,,,,0.0
14.5,7.5,,,,0.0
14.5,8.5,,,,0.0
14.5,9.5,,,,0.0
14.5,10.5,,,,0.0
14.5,11.5,,,,0.0
14.5,12.5,,,,0.0
14.5,13.5,,,,0.0
14.5,14.5,,,,0.0
14.5,15.5,,,,0.0
14.5,16.5,1.9024604563555063,1.1504650591048644,0.5865801796582799,15.0
14.5,17.5,,,,0.0
14.5,18.5,,,,0.0
14.5,19.5,,,,0.0
14.5,20.5,,,,0.0
14.5,21.5,,,,0.0
14.5,22.5,,,,0.0
14.5,23.5,,,,0.0
15.5,0.5,,,,0.0
15.5,1.5,,,,0.0
15.5,2.5,,,,0.0
15.5,3.5,,,,0.0
15.5,4.5,,,,0.0
15.5,5.5,,,,0.0
15.5,6.5,,,,0.0
15.5,7.5,,,,0.0
15.5,8.5,,,,0.0
15.5,9.5,,,,0.0
15.5,10.5,,,,0.0
15.5,11.5,,,,0.0
15.5,12.5,,,,0.0
15.5,13.5,,,,0.0
15.5,14.5,,,,0.0
15.5,15.5,,,,0.0
15.5,16.5,,,,0.0
15.5,17.5,,,,0.0
15.5,18.5,,,,0.0
15.5,19.5,,,,0.0
15.5,20.5,,,,0.0
15.5,21.5,,,,0.0
15.5,22.5,,,,0.0
15.5,23.5,,,,0.0
16.5,0.5,,,,0.0
16.5,1.5,,,,0.0
16.5,2.5,,,,0.0
16.5,3.5,,,,0.0
16.5,4.5,,,,0.0
16.5,5.5,,,,0.0
16.5,6.5,,,,0.0
16.5,7.5,,,,0.0
16.5,8.5,,,,0.0
16.5,9.5,,,,0.0
16.5,10.5,,,,0.0
16.5,11.5,,,,0.0
16.5,12.5,,,,0.0
16.5,13.5,,,,0.0
16.5,14.5,,,,0.0
16.5,15.5,,,,0.0
16.5,16.5,,,,0.0
16.5,17.5,,,,0.0
16.5,18.5,,,,0.0
16.5,19.5,,,,0.0
16.5,20.5,,,,0.0
16.5,21.5,,,,0.0
16.5,22.5,,,,0.0
16.5,23.5,,,,0.0
17.5,0.5,,,,0.0
17.5,1.5,,,,0.0
17.5,2.5,,,,0.0
17.5,3.5,,,,0.0
17.5,4.5,,,,0.0
17.5,5.5,,,,0.0
17.5,6.5,,,,0.0
17.5,7.5,,,,0.0
17.5,8.5,,,,0.0
17.5,9.5,,,,0.0
17.5,10.5,,,,0.0
17.5,11.5,,,,0.0
17.5,12.5,,,,0.0
17.5,13.5,,,,0.0
17.5,14.5,,,,0.0
17.5,15.5,,,,0.0
17.5,16.5,,,,0.0
17.5,17.5,,,,0.0
17.5,18.5,,,,0.0
17.5,19.5,,,,0.0
17.5,20.5,,,,0.0
17.5,21.5,,,,0.0
17.5,22.5,,,,0.0
17.5,23.5,,,,0.0
18.5,0.5,,,,0.0
18.5,1.5,,,,0.0
18.5,2.5,,,,0.0
18.5,3.5,,,,0.0
18.5,4.5,,,,0.0
18.5,5.5,,,,0.0
18.5,6.5,,,,0.0
18.5,7.5,,,,0.0
18.5,8.5,,,,0.0
18.5,9.5,,,,0.0
18.5,10.5,,,,0.0
18.5,11.5,,,,0.0
18.5,12.5,,,,0.0
18.5,13.5,,,,0.0
18.5,14.5,,,,0.0
18.5,15.5,,,,0.0
18.5,16.5,,,,0.0
18.5,17.5,,,,0.0
18.5,18.5,,,,0.0
18.5,19.5,,,,0.0
18.5,20.5,,,,0.0
18.5,21.5,,,,0.0
18.5,22.5,,,,0.0
18.5,23.5,,,,0.0
19.5,0.5,,,,0.0
19.5,1.5,,,,0.0
19.5,2.5,,,,0.0
19.5,3.5,,,,0.0
19.5,4.5,,,,0.0
19.5,5.5,,,,0.0
19.5,6.5,,,,0.0
19.5,7.5,,,,0.0
19.5,8.5,,,,0.0
19.5,9.5,,,,0.0
19.5,10.5,,,,0.0
19.5,11.5,,,,0.0
19.5,12.5,,,,0.0
19.5,13.5,,,,0.0
19.5,14.5,,,,0.0
19.5,15.5,,,,0.0
19.5,16.5,,,,0.0
19.5,17.5,,,,0.0
19.5,18.5,,,,0.0
19.5,19.5,,,,0.0
19.5,20.5,,,,0.0
19.5,21.5,,,,0.0
19.5,22.5,,,,0.0
19.5,23.5,,,,0.0
20.5,0.5,,,,0.0
20.5,1.5,,,,0.0
20.5,2.5,,,,0.0
20.5,3.5,,,,0.0
20.5,4.5,,,,0.0
20.5,5.5,,,,0.0
20.5,6.5,,,,0.0
20.5,7.5,,,,0.0
20.5,8.5,,,,0.0
20.5,9.5,,,,0.0
20.5,10.5,,,,0.0
20.5,11.5,,,,0.0
20.5,12.5,,,,0.0
20.5,13.5,,,,0.0
20.5,14.5,,,,0.0
20.5,15.5,,,,0.0
20.5,16.5,,,,0.0
20.5,17.5,,,,0.0
20.5,18.5,,,,0.0
20.5,19.5,,,,0.0
20.5,20.5,,,,0.0
20.5,21.5,,,,0.0
20.5,22.5,,,,0.0
20.5,23.5,,,,0.0
21.5,0.5,,,,0.0
21.5,1.5,,,,0.0
21.5,2.5,,,,0.0
21.5,3.5,,,,0.0
21.5,4.5,,,,0.0
21.5,5.5,,,,0.0
21.5,6.5,,,,0.0
21.5,7.5,,,,0.0
21.5,8.5,,,,0.0
21.5,9.5,,,,0.0
21.5,10.5,,,,0.0
21.5,11.5,,,,0.0
21.5,12.5,,,,0.0
21.5,13.5,,,,0.0
21.5,14.5,,,,0.0
21.5,15.5,,,,0.0
21.5,16.5,,,,0.0
21.5,17.5,,,,0.0
21.5,18.5,,,,0.0
21.5,19.5,,,,0.0
21.5,20.5,,,,0.0
21.5,21.5,,,,0.0
21.5,22.5,,,,0.0
21.5,23.5,,,,0.0
22.5,0.5,,,,0.0
22.5,1.5,,,,0.0
22.5,2.5,,,,0.0
22.5,3.5,,,,0.0
22.5,4.5,,,,0.0
22.5,5.5,,,,0.0
22.5,6.5,,,,0.0
22.5,7.5,,,,0.0
22.5,8.5,,,,0.0
22.5,9.5,,,,0.0
22.5,10.5,,,,0.0
22.5,11.5,,,,0.0
22.5,12.5,,,,0.0
22.5,13.5,,,,0.0
22.5,14.5,,,,0.0
22.5,15.5,,,,0.0
22.5,16.5,,,,0.0
22.5,17.5,,,,0.0
22.5,18.5,,,,0.0
22.5,19.5,,,,0.0
22.5,20.5,,,,0.0
22.5,21.5,,,,0.0
22.5,22.5,,,,0.0
22.5,23.5,,,,0.0
23.5,0.5,,,,0.0
23.5,1.5,,,,0.0
23.5,2.5,,,,0.0
23.5,3.5,,,,0.0
23.5,4.5,,,,0.0
23.5,5.5,,,,0.0
23.5,6.5,,,,0.0
23.5,7.5,,,,0.0
23.5,8.5,,,,0.0
23.5,9.5,,,,0.0
23.5,10.5,,,,0.0
23.5,11.5,,,,0.0
23.5,12.5,,,,0.0
23.5,13.5,,,,0.0
23.5,14.5,,,,0.0
23.5,15.5,,,,0.0
23.5,16.5,,,,0.0
23.5,17.5,,,,0.0
23.5,18.5,,,,0.0
23.5,19.5,,,,0.0
23.5,20.5,,,,0.0
23.5,21.5,,,,0.0
23.5,22.5,,,,0.0
23.5,23.5,,,,0.0
24.5,0.5,,,,0.0
24.5,1.5,,,,0.0
24.5,2.5,,,,0.0
24.5,3.5,,,,0.0
24.5,4.5,,,,0.0
24.5,5.5,,,,0.0
24.5,6.5,,,,0.0
24.5,7.5,,,,0.0
24.5,8.5,,,,0.0
24.5,9.5,,,,0.0
24.5,10.5,,,,0.0
24.5,11.5,,,,0.0
24.5,12.5,,,,0.0
24.5,13.5,,,,0.0
24.5,14.5,,,,0.0
24.5,15.5,,,,0.0
24.5,16.5,,,,0.0
24.5,17.5,,,,0.0
24.5,18.5,,,,0.0
24.5,19.5,,,,0.0
24.5,20.5,,,,0.0
24.5,21.5,,,,0.0
24.5,22.5,,,,0.0
24.5,23.5,,,,0.0
25.5,0.5,,,,0.0
25.5,1.5,,,,0.0
25.5,2.5,,,,0.0
25.5,3.5,,,,0.0
25.5,4.5,,,,0.0
25.5,5.5,,,,0.0
25.5,6.5,,,,0.0
25.5,7.5,,,,0.0
25.5,8.5,,,,0.0
25.5,9.5,,,,0.0
25.5,10.5,,,,0.0
25.5,11.5,,,,0.0
25.5,12.5,,,,0.0
25.5,13.5,,,,0.0
25.5,14.5,,,,0.0
25.5,15.5,,,,0.0
25.5,16.5,,,,0.0
25.5,17.5,,,,0.0
25.5,18.5,,,,0.0
25.5,19.5,,,,0.0
25.5,20.5,,,,0.0
25.5,21.5,,,,0.0
25.5,22.5,,,,0.0
25.5,23.5,,,,0.0
26.5,0.5,,,,0.0
26.5,1.5,,,,0.0
26.5,2.5,,,,0.0
26.5,3.5,,,,0.0
26.5,4.5,,,,0.0
26.5,5.5,,,,0.0
26.5,6.5,,,,0.0
26.5,7.5,,,,0.0
26.5,8.5,,,,0.0
26.5,9.5,,,,0.0
26.5,10.5,,,,0.0
26.5,11.5,,,,0.0
26.5,12.5,,,,0.0
26.5,13.5,,,,0.0
26.5,14.5,,,,0.0
26.5,15.5,,,,0.0
26.5,16.5,,,,0.0
26.5,17.5,,,,0.0
26.5,18.5,,,,0.0
26.5,19.5,,,,0.0
26.5,20.5,,,,0.0
26.5,21.5,,,,0.0
26.5,22.5,,,,0.0
26.5,23.5,,,,0.0
27.5,0.5,,,,0.0
27.5,1.5,,,,0.0
27.5,2.5,,,,0.0
27.5,3.5,,,,0.0
27.5,4.5,,,,0.0
27.5,5.5,,,,0.0
27.5,6.5,,,,0.0
27.5,7.5,,,,0.0
27.5,8.5,,,,0.0
27.5,9.5,,,,0.0
27.5,10.5,,,,0.0
27.5,11.5,,,,0.0
27.5,12.5,,,,0.0
27.5,13.5,,,,0.0
27.5,14.5,,,,0.0
27.5,15.5,,,,0.0
27.5,16.5,,,,0.0
27.5,17.5,,,,0.0
27.5,18.5,,,,0.0
27.5,19.5,,,,0.0
27.5,20.5,,,,0.0
27.5,21.5,,,,0.0
27.5,22.5,,,,0.0
27.5,23.5,,,,0.0
28.5,0.5,,,,0.0
28.5,1.5,,,,0.0
28.5,2.5,,,,0.0
28.5,3.5,,,,0.0
28.5,4.5,,,,0.0
28.5,5.5,,,,0.0
28.5,6.5,,,,0.0
28.5,7.5,,,,0.0
28.5,8.5,,,,0.0
28.5,9.5,,,,0.0
28.5,10.5,,,,0.0
28.5,11.5,,,,0.0
28.5,12.5,,,,0.0
28.5,13.5,,,,0.0
28.5,14.5,,,,0.0
28.5,15.5,,,,0.0
28.5,16.5,,,,0.0
28.5,17.5,,,,0.0
28.5,18.5,,,,0.0
28.5,19.5,,,,0.0
28.5,20.5,,,,0.0
28.5,21.5,,,,0.0
28.5,22.5,,,,0.0
28.5,23.5,,,,0.0
29.5,0.5,,,,0.0
29.5,1.5,,,,0.0
29.5,2.5,,,,0.0
29.5,3.5,,,,0.0
29.5,4.5,,,,0.0
29.5,5.5,,,,0.0
29.5,6.5,,,,0.0
29.5,7.5,,,,0.0
29.5,8.5,,,,0.0
29.5,9.5,,,,0.0
29.5,10.5,,,,0.0
29.5,11.5,,,,0.0
29.5,12.5,,,,0.0
29.5,13.5,,,,0.0
29.5,14.5,,,,0.0
29.5,15.5,,,,0.0
29.5,16.5,,,,0.0
29.5,17.5,,,,0.0
29.5,18.5,,,,0.0
29.5,19.5,,,,0.0
29.5,20.5,,,,0.0
29.5,21.5,,,,0.0
29.5,22.5,,,,0.0
29.5,23.5,,,,0.0
